#Object       u60

10518         1.0
10519         1.0
10457         1.0
10456         1.0
10455         1.0
10512         1.0
10513         1.0
10459         1.0
10458         1.0
10516         1.0
10517         1.0
10514         1.0
10515         1.0
10890         1.0
10749         1.0
10819         1.0
10527         1.0
10526         1.0
10525         1.0
10524         1.0
10523         1.0
10522         1.0
10521         1.0
10520         1.0
10884         1.0
10480         1.0
10886         1.0
10887         1.0
10880         1.0
10881         1.0
10882         1.0
10883         1.0
10888         1.0
10889         1.0
10750         1.0
10751         1.0
10752         1.0
10753         1.0
10754         1.0
10755         1.0
10510         1.0
10511         1.0
10879         1.0
10878         1.0
10871         1.0
10870         1.0
10873         1.0
10872         1.0
10875         1.0
10874         1.0
10877         1.0
10876         1.0
10466         1.0
10467         1.0
10868         1.0
10869         1.0
10862         1.0
10863         1.0
10860         1.0
10861         1.0
10866         1.0
10867         1.0
10864         1.0
10865         1.0
10411         1.0
10410         1.0
10857         1.0
10856         1.0
10855         1.0
10854         1.0
10859         1.0
10858         1.0
10468         1.0
10469         1.0
10403         1.0
10404         1.0
10405         1.0
10406         1.0
10407         1.0
10408         1.0
10409         1.0
11238         1.0
11239         1.0
11233         1.0
11234         1.0
11235         1.0
11236         1.0
11237         1.0
10499         1.0
10498         1.0
10497         1.0
10496         1.0
10495         1.0
10494         1.0
10493         1.0
10492         1.0
10491         1.0
10490         1.0
10475         1.0
10474         1.0
10477         1.0
10476         1.0
10471         1.0
10470         1.0
10473         1.0
10472         1.0
10479         1.0
10478         1.0
11249         1.0
11248         1.0
11247         1.0
10824         1.0
10488         1.0
10489         1.0
10763         1.0
10825         1.0
10765         1.0
10764         1.0
10767         1.0
10766         1.0
10769         1.0
10481         1.0
10482         1.0
10483         1.0
10484         1.0
10485         1.0
10486         1.0
10487         1.0
10820         1.0
10509         2.0
10508         1.0
10464         1.0
10465         1.0
10462         1.0
10463         1.0
10460         1.0
10461         1.0
10501         1.0
10500         1.0
10503         1.0
10502         1.0
10505         1.0
10504         1.0
10507         1.0
10506         1.0
10768         1.0
10885         1.0
11252         1.0
11253         1.0
11250         1.0
11251         1.0
10772         1.0
10773         1.0
10770         1.0
10771         1.0
10822         1.0
10823         1.0
10774         1.0
10821         1.0
