#Object       u60

11829         1.0
11828         1.0
11825         1.0
11824         1.0
11827         1.0
11826         1.0
11823         1.0
11822         1.0
11982         1.0
11983         1.0
11980         1.0
11981         1.0
11984         1.0
11263         1.0
11262         1.0
11261         1.0
11267         1.0
11266         1.0
11265         1.0
11264         1.0
12279         1.0
12278         1.0
11917         1.0
11916         1.0
12271         1.0
11918         1.0
12273         1.0
12272         1.0
12275         1.0
12274         1.0
12277         1.0
12276         1.0
11834         1.0
11835         1.0
11832         1.0
11833         1.0
11830         1.0
11831         1.0
11275         1.0
11276         1.0
11277         1.0
11278         1.0
12316         1.0
12317         1.0
12314         1.0
12315         1.0
12312         1.0
12313         1.0
12318         1.0
12644         1.0
12645         1.0
12646         1.0
12647         1.0
12642         1.0
12643         1.0
12648         1.0
13339         1.0
13338         1.0
10913         1.0
13337         1.0
13336         1.0
13335         1.0
11920         1.0
11921         1.0
11922         1.0
11923         1.0
11924         1.0
11925         1.0
11926         1.0
12270         1.0
11620         1.0
11623         1.0
10914         1.0
10916         1.0
11622         1.0
11621         1.0
10915         1.0
12338         1.0
11626         2.0
11625         1.0
11624         1.0
12334         1.0
10912         1.0
12336         2.0
12337         1.0
12333         1.0
11979         1.0
11978         1.0
11973         1.0
11972         1.0
11971         1.0
11970         1.0
11975         1.0
11974         1.0
11919         1.0
12335         1.0
13340         1.0
13341         1.0
13586         1.0
12690         1.0
12339         1.0
12280         1.0
12281         1.0
12282         1.0
12283         1.0
12684         1.0
12685         1.0
12686         1.0
12687         1.0
12688         1.0
12689         1.0
11964         1.0
11965         1.0
11966         1.0
11967         1.0
11962         1.0
11963         1.0
11968         1.0
11969         1.0
