#Object       u60  vst  v40

11988         1.0  0.0  0.0
11989         1.0  0.0  0.0
11683         1.0  0.0  0.0
11986         1.0  0.0  0.0
11987         1.0  0.0  0.0
11985         1.0  0.0  0.0
10583         1.0  0.0  0.0
13001         1.0  0.0  0.0
13000         1.0  0.0  0.0
10587         1.0  0.0  0.0
13002         1.0  0.0  0.0
11850         1.0  0.0  0.0
11851         1.0  0.0  0.0
11852         1.0  0.0  0.0
11853         1.0  0.0  0.0
11854         1.0  0.0  0.0
11855         1.0  0.0  0.0
11856         1.0  0.0  0.0
10740         1.0  0.0  0.0
11838         1.0  0.0  0.0
11839         1.0  0.0  0.0
11836         1.0  0.0  0.0
11837         1.0  0.0  0.0
13324         1.0  0.0  0.0
12668         1.0  0.0  0.0
12630         1.0  0.0  0.0
12666         1.0  0.0  0.0
12667         1.0  0.0  0.0
12664         1.0  0.0  0.0
11101         1.0  0.0  0.0
12662         1.0  0.0  0.0
12663         1.0  0.0  0.0
12660         1.0  0.0  0.0
12661         1.0  0.0  0.0
10592         1.0  0.0  0.0
10593         1.0  0.0  0.0
10590         1.0  0.0  0.0
10591         1.0  0.0  0.0
10596         1.0  0.0  0.0
10597         1.0  0.0  0.0
10594         1.0  0.0  0.0
10595         1.0  0.0  0.0
10598         1.0  0.0  0.0
10599         1.0  0.0  0.0
11286         1.0  0.0  0.0
12665         1.0  0.0  0.0
10738         1.0  0.0  0.0
10739         1.0  0.0  0.0
10736         1.0  0.0  0.0
10737         1.0  0.0  0.0
10735         1.0  0.0  0.0
12989         1.0  0.0  0.0
12659         1.0  0.0  0.0
12658         1.0  0.0  0.0
12653         1.0  0.0  0.0
12652         1.0  0.0  0.0
12651         1.0  0.0  0.0
12650         1.0  0.0  0.0
12657         1.0  0.0  0.0
12656         1.0  0.0  0.0
12655         1.0  0.0  0.0
12654         1.0  0.0  0.0
11288         1.0  0.0  0.0
10600         1.0  0.0  0.0
11283         1.0  0.0  0.0
11282         1.0  0.0  0.0
11285         1.0  0.0  0.0
11284         1.0  0.0  0.0
11287         1.0  0.0  0.0
12319         1.0  0.0  0.0
12990         1.0  0.0  0.0
12991         1.0  0.0  0.0
12992         1.0  0.0  0.0
12993         1.0  0.0  0.0
12994         1.0  0.0  0.0
12995         1.0  0.0  0.0
12996         1.0  0.0  0.0
12997         1.0  0.0  0.0
12998         1.0  0.0  0.0
12999         1.0  0.0  0.0
12649         1.0  0.0  0.0
11637         0.0  0.0  0.0
13333         1.0  0.0  0.0
13332         1.0  0.0  0.0
13331         1.0  0.0  0.0
13330         1.0  0.0  0.0
13334         1.0  0.0  0.0
12323         1.0  0.0  0.0
12322         1.0  0.0  0.0
12321         1.0  0.0  0.0
12320         1.0  0.0  0.0
12325         1.0  0.0  0.0
12324         1.0  0.0  0.0
12631         1.0  0.0  0.0
13325         1.0  0.0  0.0
13326         1.0  0.0  0.0
13327         1.0  0.0  0.0
12634         1.0  0.0  0.0
13323         1.0  0.0  0.0
13328         1.0  0.0  0.0
13329         1.0  0.0  0.0
13672         1.0  0.0  0.0
13673         1.0  0.0  0.0
13670         1.0  0.0  0.0
13671         1.0  0.0  0.0
13676         1.0  0.0  0.0
13674         1.0  0.0  0.0
13675         1.0  0.0  0.0
10585         1.0  0.0  0.0
10584         1.0  0.0  0.0
15098         1.0  0.0  0.0
10586         1.0  0.0  0.0
15096         1.0  0.0  0.0
15097         1.0  0.0  0.0
10589         1.0  0.0  0.0
10588         1.0  0.0  0.0
12629         1.0  0.0  0.0
12741         1.0  0.0  0.0
12740         1.0  0.0  0.0
12743         1.0  0.0  0.0
12742         1.0  0.0  0.0
10923         1.0  0.0  0.0
10922         1.0  0.0  0.0
10921         1.0  0.0  0.0
10920         1.0  0.0  0.0
11638         1.0  0.0  0.0
11639         1.0  0.0  0.0
10925         1.0  0.0  0.0
10924         1.0  0.0  0.0
11634         1.0  0.0  0.0
11635         1.0  1.0  0.0
11636         1.0  0.0  0.0
10919         1.0  0.0  0.0
12669         1.0  0.0  0.0
12633         1.0  0.0  0.0
11641         1.0  0.0  0.0
11640         1.0  0.0  0.0
11643         1.0  0.0  0.0
11642         1.0  0.0  0.0
11645         1.0  0.0  0.0
11644         1.0  0.0  0.0
11647         1.0  0.0  0.0
11646         1.0  0.0  0.0
11847         1.0  0.0  0.0
11848         1.0  0.0  0.0
11998         1.0  0.0  0.0
11991         1.0  0.0  0.0
11990         2.0  1.0  0.0
11993         1.0  0.0  0.0
11992         1.0  0.0  0.0
11995         1.0  0.0  0.0
11994         1.0  0.0  0.0
11997         1.0  0.0  0.0
11996         1.0  0.0  0.0
11849         1.0  0.0  0.0
11684         1.0  0.0  0.0
12632         1.0  0.0  0.0
11846         1.0  0.0  0.0
11845         1.0  0.0  0.0
11844         1.0  0.0  0.0
11843         1.0  0.0  0.0
11842         1.0  0.0  0.0
11841         1.0  0.0  0.0
11840         1.0  0.0  0.0
