#Object       u60

10453         1.0
10452         1.0
10451         1.0
10450         1.0
10457         1.0
10456         1.0
10455         1.0
10454         1.0
10459         1.0
10458         1.0
10811         1.0
10810         1.0
10819         1.0
10524         1.0
10523         1.0
10522         1.0
10521         1.0
10520         1.0
10881         1.0
11579         1.0
11578         1.0
11577         1.0
11576         1.0
11575         1.0
11574         1.0
11573         1.0
11572         1.0
11571         1.0
10518         1.0
10519         1.0
10808         1.0
10809         1.0
11205         1.0
11207         1.0
11130         1.0
11209         1.0
11208         1.0
10510         1.0
NGC2632       2.0
10871         1.0
10870         1.0
10873         1.0
10872         1.0
11210         1.0
11211         1.0
11129         1.0
10466         1.0
10467         1.0
10868         1.0
10869         1.0
10862         1.0
10863         1.0
10860         1.0
10861         1.0
10866         1.0
10867         1.0
10864         1.0
10865         1.0
10857         1.0
10856         1.0
10855         1.0
10854         1.0
10859         1.0
10858         1.0
11584         1.0
11582         1.0
11583         1.0
11580         1.0
11581         1.0
10469         1.0
10499         1.0
10498         1.0
10497         1.0
10496         1.0
10495         1.0
10494         1.0
10493         1.0
10492         1.0
11206         1.0
10468         1.0
10475         1.0
10474         1.0
10477         1.0
10476         1.0
10471         1.0
10470         1.0
10473         1.0
10472         1.0
10479         1.0
10478         1.0
10763         1.0
10765         1.0
10764         1.0
10767         1.0
10766         1.0
10480         1.0
10481         1.0
10482         1.0
10483         1.0
10484         1.0
M67           2.0
10509         1.0
10508         1.0
10464         1.0
10465         1.0
10462         1.0
10463         1.0
10460         1.0
10461         1.0
10501         1.0
10500         1.0
10503         1.0
10502         1.0
10505         1.0
10504         1.0
10507         1.0
10506         1.0
10768         1.0
10824         1.0
10825         1.0
10822         1.0
10823         1.0
10820         1.0
10821         1.0
