#Object       u60  vst  v40

10502         1.0  0.0  0.0
10518         1.0  0.0  0.0
10519         1.0  0.0  0.0
10512         1.0  0.0  0.0
10513         1.0  0.0  0.0
10510         1.0  0.0  0.0
10511         1.0  0.0  0.0
10516         1.0  0.0  0.0
10517         1.0  0.0  0.0
10514         1.0  0.0  0.0
10515         1.0  0.0  0.0
10489         1.0  0.0  0.0
10890         1.0  0.0  0.0
10749         1.0  0.0  0.0
10748         1.0  0.0  0.0
10747         1.0  0.0  0.0
10746         1.0  0.0  0.0
10745         1.0  1.0  0.0
11469         1.0  0.0  0.0
11468         1.0  1.0  0.0
10527         1.0  0.0  0.0
10526         1.0  0.0  0.0
10525         1.0  0.0  0.0
10524         1.0  0.0  0.0
10523         1.0  0.0  0.0
10522         1.0  0.0  0.0
10521         1.0  0.0  0.0
10520         1.0  2.0  0.0
10529         1.0  0.0  0.0
10528         1.0  0.0  0.0
10884         1.0  0.0  0.0
10885         1.0  0.0  0.0
10886         1.0  0.0  0.0
10887         1.0  0.0  0.0
10882         1.0  0.0  0.0
10883         2.0  2.0  0.0
10888         1.0  0.0  0.0
10889         1.0  0.0  0.0
10506         1.0  0.0  0.0
11107         1.0  0.0  0.0
12382         1.0  0.0  0.0
10758         1.0  0.0  0.0
10759         1.0  0.0  0.0
11472         1.0  0.0  0.0
11470         1.0  0.0  0.0
11471         1.0  0.0  0.0
10750         1.0  0.0  0.0
10751         1.0  0.0  0.0
10752         1.0  0.0  0.0
10753         1.0  0.0  0.0
10754         1.0  0.0  0.0
10755         1.0  0.0  0.0
10756         1.0  0.0  0.0
10757         1.0  0.0  0.0
10530         1.0  0.0  0.0
10531         1.0  0.0  0.0
10532         1.0  0.0  0.0
10533         1.0  0.0  0.0
10534         1.0  0.0  0.0
10535         1.0  0.0  0.0
10536         1.0  0.0  0.0
10537         1.0  0.0  0.0
10538         1.0  0.0  0.0
10539         1.0  0.0  0.0
10871         1.0  0.0  0.0
10870         1.0  0.0  0.0
10873         1.0  0.0  0.0
10872         1.0  0.0  0.0
10874         1.0  0.0  0.0
11954         1.0  0.0  0.0
11951         1.0  0.0  0.0
11950         1.0  0.0  0.0
11953         1.0  0.0  0.0
11952         1.0  0.0  0.0
10545         1.0  0.0  0.0
10544         1.0  0.0  0.0
10547         1.0  0.0  0.0
10546         1.0  0.0  0.0
10541         1.0  0.0  0.0
10540         1.0  0.0  0.0
10543         1.0  0.0  0.0
10542         1.0  0.0  0.0
10868         1.0  0.0  0.0
10869         1.0  0.0  0.0
10862         1.0  0.0  0.0
10863         1.0  0.0  0.0
10860         1.0  0.0  0.0
10861         1.0  0.0  0.0
10866         1.0  0.0  0.0
10867         1.0  0.0  0.0
10864         1.0  0.0  0.0
10865         1.0  0.0  0.0
11948         1.0  0.0  0.0
11949         1.0  0.0  0.0
12733         1.0  0.0  0.0
10857         1.0  0.0  0.0
10856         1.0  0.0  0.0
10855         1.0  0.0  0.0
10854         1.0  0.0  0.0
10505         1.0  0.0  0.0
10859         1.0  0.0  0.0
10858         1.0  0.0  0.0
10504         1.0  0.0  0.0
10507         1.0  0.0  0.0
11310         1.0  0.0  0.0
11238         1.0  0.0  0.0
11239         1.0  0.0  0.0
11233         1.0  0.0  0.0
11234         1.0  0.0  0.0
11235         1.0  0.0  0.0
11236         1.0  0.0  0.0
11237         1.0  0.0  0.0
13768         1.0  0.0  0.0
13764         1.0  0.0  0.0
13765         1.0  1.0  0.0
13766         1.0  0.0  0.0
13767         1.0  0.0  0.0
13763         1.0  0.0  0.0
10499         1.0  0.0  0.0
10498         1.0  0.0  0.0
10497         1.0  0.0  0.0
10496         1.0  0.0  0.0
10495         1.0  0.0  0.0
10494         1.0  0.0  0.0
10493         1.0  0.0  0.0
10492         1.0  0.0  0.0
10491         1.0  0.0  0.0
10490         1.0  0.0  0.0
10475         1.0  0.0  0.0
10474         1.0  0.0  0.0
10477         1.0  0.0  0.0
10476         1.0  0.0  0.0
10471         1.0  0.0  0.0
10470         1.0  0.0  0.0
10473         1.0  0.0  0.0
10472         1.0  0.0  0.0
10488         1.0  0.0  0.0
10760         1.0  0.0  0.0
10485         1.0  0.0  0.0
10486         1.0  0.0  0.0
10487         1.0  0.0  0.0
10509         1.0  0.0  0.0
10508         1.0  0.0  0.0
10501         1.0  0.0  0.0
10500         1.0  0.0  0.0
10503         1.0  0.0  0.0
11314         1.0  0.0  0.0
11313         1.0  0.0  0.0
11312         1.0  1.0  0.0
11311         1.0  0.0  0.0
10469         1.0  0.0  0.0
