#Object       u60  vst  v40

11199         1.0  0.0  0.0
10899         1.0  0.0  0.0
10898         1.0  0.0  0.0
11948         1.0  0.0  0.0
11949         1.0  0.0  0.0
11467         1.0  0.0  0.0
11466         1.0  0.0  0.0
11469         1.0  0.0  0.0
11468         1.0  0.0  0.0
11579         1.0  0.0  0.0
11578         1.0  0.0  0.0
11577         1.0  0.0  0.0
11576         1.0  0.0  0.0
11575         1.0  0.0  0.0
11574         1.0  0.0  0.0
11573         1.0  0.0  0.0
11572         1.0  0.0  0.0
11571         1.0  0.0  0.0
12388         1.0  1.0  0.0
12384         1.0  0.0  0.0
11100         1.0  0.0  0.0
12383         1.0  0.0  0.0
12382         1.0  0.0  0.0
11472         1.0  0.0  0.0
11470         1.0  0.0  0.0
11471         1.0  0.0  0.0
11089         1.0  0.0  0.0
12387         1.0  0.0  0.0
11201         1.0  0.0  0.0
11200         1.0  0.0  0.0
11203         1.0  0.0  0.0
11202         1.0  0.0  0.0
11205         1.0  0.0  0.0
11204         1.0  0.0  0.0
11207         1.0  0.0  0.0
11206         1.0  0.0  0.0
11209         1.0  0.0  0.0
11561         1.0  0.0  0.0
11562         1.0  0.0  0.0
11563         1.0  0.0  0.0
11605         1.0  0.0  0.0
11604         1.0  0.0  0.0
11607         1.0  0.0  0.0
11606         1.0  0.0  0.0
11601         1.0  0.0  0.0
11600         1.0  0.0  0.0
11603         1.0  0.0  0.0
11602         1.0  0.0  0.0
11609         1.0  0.0  0.0
11608         1.0  0.0  0.0
11959         1.0  0.0  0.0
11958         1.0  0.0  0.0
11955         1.0  0.0  0.0
11954         1.0  0.0  0.0
11957         1.0  0.0  0.0
11956         1.0  0.0  0.0
11951         1.0  0.0  0.0
11950         1.0  1.0  0.0
11953         1.0  0.0  0.0
11952         1.0  0.0  0.0
10545         1.0  0.0  0.0
10544         1.0  0.0  0.0
10547         1.0  0.0  0.0
10546         1.0  0.0  0.0
12640         1.0  0.0  0.0
12641         1.0  0.0  0.0
10543         1.0  0.0  0.0
10542         1.0  0.0  0.0
11083         1.0  0.0  0.0
11082         1.0  0.0  0.0
11081         1.0  0.0  0.0
11080         1.0  0.0  0.0
11087         1.0  0.0  0.0
11086         1.0  0.0  0.0
11085         1.0  0.0  0.0
11084         1.0  0.0  0.0
11210         1.0  0.0  0.0
11595         1.0  0.0  0.0
11594         1.0  0.0  0.0
11597         1.0  0.0  0.0
11088         1.0  0.0  0.0
11458         1.0  0.0  0.0
11590         1.0  0.0  0.0
11593         1.0  1.0  0.0
11592         1.0  0.0  0.0
11454         1.0  0.0  0.0
11455         1.0  0.0  0.0
11456         1.0  0.0  0.0
11457         1.0  0.0  0.0
11599         1.0  0.0  0.0
11598         1.0  0.0  0.0
11452         1.0  0.0  0.0
11453         1.0  0.0  0.0
11094         1.0  0.0  0.0
11095         1.0  0.0  0.0
11096         1.0  0.0  0.0
11097         1.0  0.0  0.0
11090         1.0  0.0  0.0
11091         1.0  0.0  0.0
11092         1.0  0.0  0.0
11093         1.0  0.0  0.0
11098         1.0  0.0  0.0
11099         1.0  0.0  0.0
12738         1.0  1.0  0.0
12635         1.0  0.0  0.0
12637         1.0  0.0  0.0
12636         1.0  0.0  0.0
12639         1.0  0.0  0.0
12638         1.0  0.0  0.0
12733         1.0  0.0  0.0
12734         1.0  0.0  0.0
12735         1.0  0.0  0.0
11586         1.0  0.0  0.0
11587         1.0  0.0  0.0
11584         1.0  0.0  0.0
11585         1.0  0.0  0.0
11582         1.0  0.0  0.0
11583         1.0  0.0  0.0
11580         1.0  0.0  0.0
11581         1.0  0.0  0.0
11627         1.0  0.0  0.0
11629         1.0  0.0  0.0
11628         1.0  0.0  0.0
11588         1.0  0.0  0.0
11589         1.0  0.0  0.0
10541         1.0  0.0  0.0
11977         1.0  0.0  0.0
11976         1.0  0.0  0.0
11211         1.0  0.0  0.0
11630         1.0  0.0  0.0
11631         1.0  0.0  0.0
11632         1.0  0.0  0.0
11633         1.0  0.0  0.0
11260         1.0  0.0  0.0
11208         1.0  0.0  0.0
11249         1.0  0.0  0.0
11248         1.0  0.0  0.0
10904         1.0  0.0  0.0
11245         1.0  0.0  0.0
11244         1.0  0.0  0.0
11247         1.0  0.0  0.0
11246         1.0  0.0  0.0
11241         1.0  0.0  0.0
11240         1.0  0.0  0.0
11243         1.0  0.0  0.0
11242         1.0  0.0  0.0
11596         1.0  0.0  0.0
11591         1.0  0.0  0.0
10901         1.0  0.0  0.0
10900         1.0  0.0  0.0
10903         1.0  0.0  0.0
10902         1.0  0.0  0.0
11612         1.0  0.0  0.0
11610         1.0  0.0  0.0
11258         1.0  1.0  0.0
11259         1.0  1.0  0.0
11256         1.0  0.0  0.0
11257         1.0  0.0  0.0
11254         1.0  0.0  0.0
11255         1.0  0.0  0.0
11252         1.0  0.0  0.0
11253         1.0  0.0  0.0
11250         1.0  0.0  0.0
11251         1.0  0.0  0.0
11960         1.0  0.0  0.0
11961         1.0  0.0  0.0
11560         1.0  0.0  0.0
11611         1.0  0.0  0.0
