#Object       u60

11191         1.0
11193         1.0
11192         1.0
11195         1.0
11194         1.0
11197         1.0
11196         1.0
11240         1.0
11577         1.0
10457         1.0
11576         1.0
10459         1.0
10458         1.0
10446         1.0
10899         1.0
10898         1.0
13085         1.0
13084         1.0
11260         1.0
13081         1.0
13080         1.0
13083         1.0
13082         1.0
10811         1.0
10810         1.0
10819         1.0
10448         1.0
10449         1.0
10481         1.0
10444         1.0
10445         1.0
11575         1.0
11574         1.0
11573         1.0
11572         1.0
11571         1.0
10961         0.0
10808         1.0
10809         1.0
10534         1.0
10535         1.0
10536         1.0
10537         1.0
10538         1.0
10539         1.0
11205         1.0
11204         1.0
11207         1.0
11206         1.0
11209         1.0
11208         1.0
11599         1.0
11605         1.0
11604         1.0
11607         1.0
11606         1.0
11601         1.0
11600         1.0
11603         1.0
11602         1.0
11609         1.0
11608         1.0
11959         1.0
11958         1.0
11955         1.0
11957         1.0
11956         1.0
14440         1.0
14441         1.0
11210         1.0
11211         1.0
12640         1.0
10540         1.0
14442         1.0
11619         1.0
11616         1.0
11617         1.0
11614         1.0
11615         1.0
11612         1.0
11613         1.0
11610         1.0
11611         1.0
10862         1.0
10863         1.0
10861         1.0
10909         1.0
10908         1.0
11618         1.0
12641         1.0
13086         1.0
12738         1.0
12739         1.0
12635         1.0
12637         1.0
12636         1.0
12639         1.0
12638         1.0
12733         1.0
12734         1.0
12735         1.0
12736         1.0
12737         1.0
14437         1.0
14436         1.0
14439         1.0
14438         1.0
11627         1.0
10910         1.0
10911         1.0
11629         1.0
11628         1.0
11238         1.0
11239         1.0
11233         1.0
11234         1.0
11235         1.0
11236         1.0
11237         1.0
11257         1.0
11630         1.0
11631         1.0
11632         1.0
11633         1.0
10447         1.0
11255         1.0
10475         1.0
10474         1.0
10477         1.0
10476         1.0
10471         1.0
10470         1.0
10473         1.0
10472         1.0
11251         1.0
10479         1.0
10478         1.0
10905         1.0
11249         1.0
11248         1.0
10904         1.0
11245         1.0
11244         1.0
11247         1.0
11246         1.0
11241         1.0
10907         1.0
11243         1.0
11242         1.0
10906         1.0
10480         1.0
10901         1.0
10900         1.0
10823         1.0
10903         1.0
10902         1.0
10466         1.0
10467         1.0
10464         1.0
10465         1.0
10462         1.0
10463         1.0
10460         1.0
10461         1.0
10468         1.0
10469         1.0
11258         1.0
11259         1.0
11256         1.0
10866         1.0
11254         1.0
11961         1.0
11252         1.0
11253         1.0
11250         1.0
10867         1.0
10824         1.0
10825         1.0
11960         1.0
10864         1.0
10820         1.0
10821         1.0
10865         1.0
10822         1.0
