#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1000635 ( 63.51494 +10.00000) 1.21 -0.50 166.6 +56.1  23.0 *
002 1300601 ( 60.09010 +13.00000) 1.16 -0.28 172.0 +59.5  25.0 *
003 1100637 ( 63.72072 +11.00000) 1.19 -0.52 165.9 +57.0  26.0 *
004 1200650 ( 64.96974 +12.00000) 1.18 -0.60 163.3 +57.8  27.0 *
005 1400552 ( 55.18936 +14.00000) 1.15  0.05 181.5 +60.7  27.0 *
006 1000686 ( 68.59206 +10.00000) 1.22 -0.84 157.9 +54.9  29.0 *
007 1400500 ( 50.03630 +14.00000) 1.15  0.39 191.6 +60.3  29.0 *
008 1300652 ( 65.22160 +13.00000) 1.17 -0.62 162.4 +58.7  31.0 *
009 1400603 ( 60.34242 +14.00000) 1.15 -0.29 171.3 +60.5  32.0 *
010 1100688 ( 68.81430 +11.00000) 1.21 -0.86 157.1 +55.8  34.0 *
011 1400449 ( 44.88322 +14.00000) 1.16  0.74 201.3 +59.2  35.0 *
012 1400655 ( 65.49550 +14.00000) 1.16 -0.64 161.5 +59.6  35.0 *
013 1400397 ( 39.73016 +14.00000) 1.18  1.08 210.4 +57.6  37.0 *
014 1200701 ( 70.08144 +12.00000) 1.20 -0.94 154.4 +56.4  38.0 *
015 1000737 ( 73.66922 +10.00000) 1.25 -1.18 149.9 +53.3  41.0 *
016 1300704 ( 70.35314 +13.00000) 1.19 -0.96 153.4 +57.3  42.0 *
017 1100739 ( 73.90790 +11.00000) 1.23 -1.20 148.9 +54.2  45.0 *
018 1000787 ( 78.74634 +10.00000) 1.28 -1.52 142.4 +51.3  48.0 *
019 1200752 ( 75.19314 +12.00000) 1.23 -1.28 146.2 +54.6  48.0 *
020 1400706 ( 70.64858 +14.00000) 1.18 -0.98 152.2 +58.1  49.0 *
021 1100790 ( 79.00150 +11.00000) 1.27 -1.54 141.3 +52.0  52.0 *
022 1300755 ( 75.48470 +13.00000) 1.22 -1.30 145.0 +55.4  54.0 *
023 1000838 ( 83.82346 +10.00000) 1.33 -1.86 135.6 +48.8  55.0 *
024 1200803 ( 80.30484 +12.00000) 1.26 -1.62 138.7 +52.3  56.0 *
025 1400758 ( 75.80164 +14.00000) 1.20 -1.32 143.7 +56.1  56.0 *
026 1100836 ( 83.58570 +11.00000) 1.31 -1.87 134.6 +49.6  60.0 *
027 1400810 ( 80.95470 +14.00000) 1.24 -1.67 136.1 +53.7  66.0 *
028 1300806 ( 80.61620 +13.00000) 1.25 -1.64 137.5 +53.0  66.0 *
029 1200839 ( 83.88305 +12.00000) 1.31 -1.94 132.5 +49.9  69.0 *
030 1300837 ( 83.69510 +13.00000) 1.29 -1.95 131.4 +50.6  70.0 *
