#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1300704 ( 70.35314 +13.00000) 1.16  0.29 188.4 +59.5  26.0 *
002 1100688 ( 68.81430 +11.00000) 1.19  0.39 190.7 +57.3  26.0 *
003 1000686 ( 68.59206 +10.00000) 1.20  0.41 190.9 +56.3  27.0 *
004 1100739 ( 73.90790 +11.00000) 1.18  0.05 181.4 +57.7  28.0 *
005 1200752 ( 75.19314 +12.00000) 1.17 -0.03 179.1 +58.7  29.0 *
006 1400655 ( 65.49550 +14.00000) 1.16  0.61 197.9 +59.7  29.0 *
007 1300601 ( 60.09010 +13.00000) 1.19  0.97 207.0 +57.2  30.0 *
008 1300755 ( 75.48470 +13.00000) 1.16 -0.05 178.5 +59.7  31.0 *
009 1400758 ( 75.80164 +14.00000) 1.15 -0.07 177.8 +60.7  31.0 *
010 1000737 ( 73.66922 +10.00000) 1.20  0.07 181.8 +56.7  31.0 *
011 1400706 ( 70.64858 +14.00000) 1.15  0.27 188.0 +60.5  32.0 *
012 1400603 ( 60.34242 +14.00000) 1.18  0.96 207.2 +58.2  35.0 *
013 1200803 ( 80.30484 +12.00000) 1.17 -0.37 169.5 +58.3  35.0 *
014 1100790 ( 79.00150 +11.00000) 1.19 -0.29 172.1 +57.5  35.0 *
015 1000787 ( 78.74634 +10.00000) 1.20 -0.27 172.7 +56.5  36.0 *
016 1300806 ( 80.61620 +13.00000) 1.16 -0.39 168.6 +59.3  40.0 *
017 1400552 ( 55.18936 +14.00000) 1.20  1.30 215.7 +56.3  40.0 *
018 1400449 ( 44.88322 +14.00000) 1.28  1.99 230.3 +51.1  42.0 *
019 1000838 ( 83.82346 +10.00000) 1.21 -0.61 163.9 +55.8  42.0 *
020 1100836 ( 83.58570 +11.00000) 1.20 -0.62 163.3 +56.7  45.0 *
021 1300837 ( 83.69510 +13.00000) 1.17 -0.70 160.2 +58.4  45.0 *
022 1400810 ( 80.95470 +14.00000) 1.15 -0.42 167.7 +60.2  46.0 *
023 1400500 ( 50.03630 +14.00000) 1.24  1.64 223.4 +53.9  46.0 *
024 1200839 ( 83.88305 +12.00000) 1.19 -0.69 161.0 +57.5  46.0 *
025 1400397 ( 39.73016 +14.00000) 1.34  2.33 236.4 +48.1  47.0 *
