#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1200599 ( 59.85804 +12.00000) 1.19 -0.76 159.1 +57.2  25.0 *
002 1400449 ( 44.88322 +14.00000) 1.15  0.24 187.0 +60.6  25.0 *
003 1300550 ( 54.95860 +13.00000) 1.16 -0.43 167.5 +59.2  25.0 *
004 1000635 ( 63.51494 +10.00000) 1.23 -1.00 154.0 +54.2  26.0 *
005 1100637 ( 63.72072 +11.00000) 1.22 -1.02 153.1 +55.1  28.0 *
006 1400500 ( 50.03630 +14.00000) 1.15 -0.11 176.8 +60.7  30.0 *
007 1200650 ( 64.96974 +12.00000) 1.21 -1.10 150.5 +55.6  31.0 *
008 1000686 ( 68.59206 +10.00000) 1.26 -1.34 146.2 +52.4  33.0 *
009 1300601 ( 60.09010 +13.00000) 1.18 -0.78 158.1 +58.1  33.0 *
010 1400552 ( 55.18936 +14.00000) 1.15 -0.45 166.8 +60.2  33.0 *
011 1400397 ( 39.73016 +14.00000) 1.16  0.58 197.0 +59.8  34.0 *
012 1100688 ( 68.81430 +11.00000) 1.25 -1.36 145.2 +53.2  37.0 *
013 1300652 ( 65.22160 +13.00000) 1.20 -1.12 149.4 +56.4  37.0 *
014 1000737 ( 73.66922 +10.00000) 1.30 -1.68 139.1 +50.1  40.0 *
015 1400603 ( 60.34242 +14.00000) 1.17 -0.79 157.1 +59.0  41.0 *
016 1200701 ( 70.08144 +12.00000) 1.24 -1.44 142.6 +53.6  43.0 *
017 1400655 ( 65.49550 +14.00000) 1.19 -1.14 148.3 +57.3  44.0 *
018 1300704 ( 70.35314 +13.00000) 1.23 -1.46 141.4 +54.3  48.0 *
019 1100739 ( 73.90790 +11.00000) 1.29 -1.70 138.0 +50.9  49.0 *
020 1200752 ( 75.19314 +12.00000) 1.28 -1.78 135.5 +51.1  50.0 *
021 1000787 ( 78.74634 +10.00000) 1.35 -2.02 132.6 +47.6  53.0 *
022 1100790 ( 79.00150 +11.00000) 1.34 -2.04 131.4 +48.3  55.0 *
023 1400706 ( 70.64858 +14.00000) 1.22 -1.48 140.2 +55.1  59.0 *
024 1000838 ( 83.82346 +10.00000) 1.42 -2.36 126.6 +44.7  60.0 *
025 1300755 ( 75.48470 +13.00000) 1.27 -1.80 134.2 +51.8  60.0 *
026 1100836 ( 83.58570 +11.00000) 1.40 -2.37 125.6 +45.4  65.0 *
027 1400758 ( 75.80164 +14.00000) 1.26 -1.82 132.9 +52.5  65.0 *
028 1200803 ( 80.30484 +12.00000) 1.34 -2.12 129.0 +48.4  65.0 *
029 1300806 ( 80.61620 +13.00000) 1.33 -2.14 127.7 +49.0  72.0 *
030 1200839 ( 83.88305 +12.00000) 1.40 -2.44 123.6 +45.6  73.0 *
031 1400810 ( 80.95470 +14.00000) 1.31 -2.17 126.4 +49.6  74.0 *
032 1300837 ( 83.69510 +13.00000) 1.38 -2.45 122.5 +46.3  75.0 *
