#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1200701 ( 70.08144 +12.00000) 1.17  0.06 181.6 +58.7  24.0 *
002 1000686 ( 68.59206 +10.00000) 1.20  0.16 184.2 +56.7  25.0 *
003 1100688 ( 68.81430 +11.00000) 1.18  0.14 183.9 +57.7  25.0 *
004 1400655 ( 65.49550 +14.00000) 1.15  0.36 190.7 +60.3  26.0 *
005 1300704 ( 70.35314 +13.00000) 1.16  0.04 181.1 +59.7  28.0 *
006 1300601 ( 60.09010 +13.00000) 1.18  0.72 200.4 +58.3  30.0 *
007 1300755 ( 75.48470 +13.00000) 1.16 -0.30 171.3 +59.5  32.0 *
008 1100739 ( 73.90790 +11.00000) 1.18 -0.20 174.6 +57.6  32.0 *
009 1000737 ( 73.66922 +10.00000) 1.20 -0.18 175.1 +56.6  33.0 *
010 1400603 ( 60.34242 +14.00000) 1.16  0.71 200.5 +59.3  33.0 *
011 1400706 ( 70.64858 +14.00000) 1.15  0.02 180.6 +60.7  34.0 *
012 1200752 ( 75.19314 +12.00000) 1.17 -0.28 172.0 +58.5  34.0 *
013 1400552 ( 55.18936 +14.00000) 1.18  1.05 209.6 +57.7  34.0 *
014 1400758 ( 75.80164 +14.00000) 1.15 -0.32 170.4 +60.4  36.0 *
015 1000787 ( 78.74634 +10.00000) 1.21 -0.52 166.2 +56.0  39.0 *
016 1200803 ( 80.30484 +12.00000) 1.18 -0.62 162.7 +57.7  40.0 *
017 1100790 ( 79.00150 +11.00000) 1.19 -0.54 165.4 +57.0  40.0 *
018 1300806 ( 80.61620 +13.00000) 1.17 -0.64 161.7 +58.6  42.0 *
019 1400810 ( 80.95470 +14.00000) 1.16 -0.67 160.6 +59.5  42.0 *
020 1400500 ( 50.03630 +14.00000) 1.21  1.39 217.9 +55.7  45.0 *
021 1000838 ( 83.82346 +10.00000) 1.22 -0.86 157.6 +54.9  45.0 *
022 1400397 ( 39.73016 +14.00000) 1.30  2.08 232.0 +50.4  49.0 *
023 1400449 ( 44.88322 +14.00000) 1.25  1.74 225.3 +53.2  50.0 *
024 1100836 ( 83.58570 +11.00000) 1.21 -0.87 156.8 +55.8  51.0 *
025 1300837 ( 83.69510 +13.00000) 1.19 -0.95 153.6 +57.3  53.0 *
026 1200839 ( 83.88305 +12.00000) 1.20 -0.94 154.5 +56.4  53.0 *
