#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1300601 ( 60.09010 +13.00000) 1.16 -0.03 179.2 +59.7  23.0 *
002 1100637 ( 63.72072 +11.00000) 1.19 -0.27 172.6 +57.5  23.0 *
003 1200650 ( 64.96974 +12.00000) 1.17 -0.35 170.1 +58.4  26.0 *
004 1400552 ( 55.18936 +14.00000) 1.15  0.30 188.9 +60.5  27.0 *
005 1300652 ( 65.22160 +13.00000) 1.16 -0.37 169.4 +59.3  27.0 *
006 1000686 ( 68.59206 +10.00000) 1.21 -0.59 164.3 +55.8  28.0 *
007 1100688 ( 68.81430 +11.00000) 1.20 -0.61 163.5 +56.8  29.0 *
008 1400603 ( 60.34242 +14.00000) 1.15 -0.04 178.7 +60.7  30.0 *
009 1400500 ( 50.03630 +14.00000) 1.16  0.64 198.7 +59.6  30.0 *
010 1400449 ( 44.88322 +14.00000) 1.18  0.99 208.0 +58.1  30.0 *
011 1400655 ( 65.49550 +14.00000) 1.15 -0.39 168.6 +60.3  33.0 *
012 1200701 ( 70.08144 +12.00000) 1.19 -0.69 160.9 +57.5  34.0 *
013 1300704 ( 70.35314 +13.00000) 1.17 -0.71 159.9 +58.4  38.0 *
014 1000737 ( 73.66922 +10.00000) 1.23 -0.93 155.8 +54.6  39.0 *
015 1100739 ( 73.90790 +11.00000) 1.21 -0.95 154.9 +55.4  40.0 *
016 1400397 ( 39.73016 +14.00000) 1.21  1.33 216.4 +56.1  42.0 *
017 1200752 ( 75.19314 +12.00000) 1.21 -1.03 152.2 +56.0  46.0 *
018 1400706 ( 70.64858 +14.00000) 1.16 -0.73 158.9 +59.2  46.0 *
019 1000787 ( 78.74634 +10.00000) 1.26 -1.27 147.9 +52.8  46.0 *
020 1300755 ( 75.48470 +13.00000) 1.20 -1.05 151.0 +56.8  49.0 *
021 1400758 ( 75.80164 +14.00000) 1.18 -1.07 149.8 +57.6  50.0 *
022 1100790 ( 79.00150 +11.00000) 1.24 -1.29 146.8 +53.6  51.0 *
023 1000838 ( 83.82346 +10.00000) 1.29 -1.61 140.6 +50.7  53.0 *
024 1200803 ( 80.30484 +12.00000) 1.24 -1.37 144.1 +54.0  55.0 *
025 1100836 ( 83.58570 +11.00000) 1.28 -1.62 139.6 +51.5  61.0 *
026 1200839 ( 83.88305 +12.00000) 1.27 -1.69 137.4 +51.8  62.0 *
027 1300806 ( 80.61620 +13.00000) 1.22 -1.39 142.9 +54.8  62.0 *
028 1300837 ( 83.69510 +13.00000) 1.26 -1.70 136.3 +52.6  68.0 *
029 1400810 ( 80.95470 +14.00000) 1.21 -1.42 141.6 +55.5  70.0 *
