#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1100586 ( 58.62714 +11.00000) 1.23 -1.18 149.3 +54.3  21.0 *
002 1300498 ( 49.82710 +13.00000) 1.17 -0.59 163.1 +58.8  25.0 *
003 1300550 ( 54.95860 +13.00000) 1.19 -0.93 154.0 +57.4  28.0 *
004 1000635 ( 63.51494 +10.00000) 1.28 -1.50 142.7 +51.4  28.0 *
005 1400449 ( 44.88322 +14.00000) 1.15 -0.26 172.2 +60.5  28.0 *
006 1200599 ( 59.85804 +12.00000) 1.23 -1.26 146.7 +54.7  31.0 *
007 1400397 ( 39.73016 +14.00000) 1.15  0.08 182.4 +60.7  33.0 *
008 1100637 ( 63.72072 +11.00000) 1.27 -1.52 141.7 +52.2  34.0 *
009 1400500 ( 50.03630 +14.00000) 1.16 -0.61 162.3 +59.7  35.0 *
010 1000686 ( 68.59206 +10.00000) 1.33 -1.84 135.9 +48.9  36.0 *
011 1200650 ( 64.96974 +12.00000) 1.26 -1.60 139.2 +52.5  36.0 *
012 1300601 ( 60.09010 +13.00000) 1.21 -1.28 145.6 +55.5  38.0 *
013 1400552 ( 55.18936 +14.00000) 1.18 -0.95 153.0 +58.3  38.0 *
014 1100688 ( 68.81430 +11.00000) 1.31 -1.86 134.8 +49.7  42.0 *
015 1300652 ( 65.22160 +13.00000) 1.25 -1.62 138.0 +53.2  42.0 *
016 1000737 ( 73.66922 +10.00000) 1.38 -2.18 129.7 +46.2  44.0 *
017 1400603 ( 60.34242 +14.00000) 1.20 -1.29 144.5 +56.3  46.0 *
018 1200701 ( 70.08144 +12.00000) 1.31 -1.94 132.4 +49.9  48.0 *
019 1400655 ( 65.49550 +14.00000) 1.24 -1.64 136.8 +53.9  52.0 *
020 1100739 ( 73.90790 +11.00000) 1.37 -2.20 128.6 +46.9  53.0 *
021 1300704 ( 70.35314 +13.00000) 1.30 -1.96 131.1 +50.5  55.0 *
022 1200752 ( 75.19314 +12.00000) 1.37 -2.28 126.2 +47.0  55.0 *
023 1000787 ( 78.74634 +10.00000) 1.46 -2.52 124.0 +43.3  57.0 *
024 1100790 ( 79.00150 +11.00000) 1.44 -2.54 122.9 +43.9  60.0 *
025 1000838 ( 83.82346 +10.00000) 1.55 -2.86 118.8 +40.1  64.0 *
026 1400706 ( 70.64858 +14.00000) 1.28 -1.98 129.9 +51.2  66.0 *
027 1300755 ( 75.48470 +13.00000) 1.35 -2.30 125.0 +47.6  66.0 *
028 1100836 ( 83.58570 +11.00000) 1.53 -2.87 117.8 +40.8  68.0 *
029 1200803 ( 80.30484 +12.00000) 1.44 -2.62 120.6 +43.9  68.0 *
030 1400758 ( 75.80164 +14.00000) 1.34 -2.32 123.7 +48.2  71.0 *
031 1300806 ( 80.61620 +13.00000) 1.43 -2.64 119.4 +44.4  78.0 *
032 1200839 ( 83.88305 +12.00000) 1.53 -2.94 115.9 +40.9  78.0 *
033 1400810 ( 80.95470 +14.00000) 1.41 -2.67 118.1 +45.0  79.0 *
034 1300837 ( 83.69510 +13.00000) 1.51 -2.95 114.8 +41.5  80.0 *
