#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1300498 ( 49.82710 +13.00000) 1.16 -0.34 170.1 +59.4  24.0 *
002 1200599 ( 59.85804 +12.00000) 1.21 -1.01 152.7 +56.1  26.0 *
003 1000635 ( 63.51494 +10.00000) 1.25 -1.25 148.2 +52.9  26.0 *
004 1400449 ( 44.88322 +14.00000) 1.15 -0.01 179.6 +60.7  26.0 *
005 1300550 ( 54.95860 +13.00000) 1.17 -0.68 160.6 +58.5  27.0 *
006 1100637 ( 63.72072 +11.00000) 1.24 -1.27 147.2 +53.7  31.0 *
007 1400397 ( 39.73016 +14.00000) 1.15  0.33 189.8 +60.4  33.0 *
008 1000686 ( 68.59206 +10.00000) 1.29 -1.59 140.9 +50.8  33.0 *
009 1200650 ( 64.96974 +12.00000) 1.23 -1.35 144.6 +54.1  33.0 *
010 1400500 ( 50.03630 +14.00000) 1.15 -0.36 169.5 +60.4  34.0 *
011 1300601 ( 60.09010 +13.00000) 1.19 -1.03 151.7 +56.9  36.0 *
012 1400552 ( 55.18936 +14.00000) 1.16 -0.70 159.7 +59.4  37.0 *
013 1100688 ( 68.81430 +11.00000) 1.28 -1.61 139.8 +51.5  39.0 *
014 1300652 ( 65.22160 +13.00000) 1.22 -1.37 143.5 +54.9  39.0 *
015 1400603 ( 60.34242 +14.00000) 1.18 -1.04 150.6 +57.8  44.0 *
016 1200701 ( 70.08144 +12.00000) 1.27 -1.69 137.3 +51.8  45.0 *
017 1000737 ( 73.66922 +10.00000) 1.34 -1.93 134.2 +48.3  46.0 *
018 1400655 ( 65.49550 +14.00000) 1.21 -1.39 142.3 +55.7  49.0 *
019 1100739 ( 73.90790 +11.00000) 1.33 -1.95 133.1 +49.0  50.0 *
020 1300704 ( 70.35314 +13.00000) 1.26 -1.71 136.1 +52.5  52.0 *
021 1200752 ( 75.19314 +12.00000) 1.32 -2.03 130.7 +49.1  52.0 *
022 1000787 ( 78.74634 +10.00000) 1.40 -2.27 128.1 +45.5  54.0 *
023 1100790 ( 79.00150 +11.00000) 1.39 -2.29 127.0 +46.1  58.0 *
024 1000838 ( 83.82346 +10.00000) 1.48 -2.61 122.6 +42.5  61.0 *
025 1400706 ( 70.64858 +14.00000) 1.25 -1.73 134.8 +53.2  62.0 *
026 1300755 ( 75.48470 +13.00000) 1.31 -2.05 129.4 +49.8  63.0 *
027 1100836 ( 83.58570 +11.00000) 1.46 -2.62 121.6 +43.2  66.0 *
028 1200803 ( 80.30484 +12.00000) 1.39 -2.37 124.7 +46.2  67.0 *
029 1400758 ( 75.80164 +14.00000) 1.30 -2.07 128.1 +50.4  68.0 *
030 1300806 ( 80.61620 +13.00000) 1.37 -2.39 123.4 +46.8  75.0 *
031 1200839 ( 83.88305 +12.00000) 1.46 -2.69 119.6 +43.3  75.0 *
032 1400810 ( 80.95470 +14.00000) 1.36 -2.42 122.1 +47.3  76.0 *
033 1300837 ( 83.69510 +13.00000) 1.44 -2.70 118.5 +43.9  77.0 *
