#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1200599 ( 59.85804 +12.00000) 1.18 -0.51 165.7 +58.0  22.0 *
002 1000635 ( 63.51494 +10.00000) 1.22 -0.75 160.2 +55.3  23.0 *
003 1300601 ( 60.09010 +13.00000) 1.17 -0.53 165.0 +59.0  27.0 *
004 1100637 ( 63.72072 +11.00000) 1.20 -0.77 159.3 +56.2  27.0 *
005 1400500 ( 50.03630 +14.00000) 1.15  0.14 184.3 +60.7  28.0 *
006 1400552 ( 55.18936 +14.00000) 1.15 -0.20 174.1 +60.6  29.0 *
007 1000686 ( 68.59206 +10.00000) 1.24 -1.09 151.9 +53.8  30.0 *
008 1400449 ( 44.88322 +14.00000) 1.15  0.49 194.3 +60.1  33.0 *
009 1200650 ( 64.96974 +12.00000) 1.19 -0.85 156.7 +56.8  33.0 *
010 1400397 ( 39.73016 +14.00000) 1.17  0.83 203.9 +58.8  34.0 *
011 1100688 ( 68.81430 +11.00000) 1.23 -1.11 151.0 +54.6  35.0 *
012 1300652 ( 65.22160 +13.00000) 1.18 -0.87 155.7 +57.7  35.0 *
013 1400603 ( 60.34242 +14.00000) 1.16 -0.54 164.1 +59.9  36.0 *
014 1400655 ( 65.49550 +14.00000) 1.17 -0.89 154.6 +58.6  40.0 *
015 1200701 ( 70.08144 +12.00000) 1.22 -1.19 148.3 +55.1  41.0 *
016 1000737 ( 73.66922 +10.00000) 1.27 -1.43 144.3 +51.8  42.0 *
017 1300704 ( 70.35314 +13.00000) 1.21 -1.21 147.2 +55.9  46.0 *
018 1100739 ( 73.90790 +11.00000) 1.26 -1.45 143.2 +52.6  47.0 *
019 1000787 ( 78.74634 +10.00000) 1.32 -1.77 137.3 +49.5  50.0 *
020 1200752 ( 75.19314 +12.00000) 1.25 -1.53 140.6 +52.9  50.0 *
021 1400706 ( 70.64858 +14.00000) 1.20 -1.23 146.0 +56.7  54.0 *
022 1100790 ( 79.00150 +11.00000) 1.30 -1.79 136.2 +50.2  54.0 *
023 1000838 ( 83.82346 +10.00000) 1.37 -2.11 131.0 +46.8  57.0 *
024 1200803 ( 80.30484 +12.00000) 1.30 -1.87 133.7 +50.4  58.0 *
025 1300755 ( 75.48470 +13.00000) 1.24 -1.55 139.4 +53.7  58.0 *
026 1400758 ( 75.80164 +14.00000) 1.23 -1.57 138.1 +54.4  61.0 *
027 1100836 ( 83.58570 +11.00000) 1.35 -2.12 130.0 +47.6  62.0 *
028 1300806 ( 80.61620 +13.00000) 1.29 -1.89 132.4 +51.1  69.0 *
029 1400810 ( 80.95470 +14.00000) 1.27 -1.92 131.1 +51.7  70.0 *
030 1200839 ( 83.88305 +12.00000) 1.35 -2.19 127.9 +47.8  71.0 *
031 1300837 ( 83.69510 +13.00000) 1.33 -2.20 126.8 +48.5  73.0 *
