#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 1200650 ( 64.96974 +12.00000) 1.17  0.15 184.2 +58.7  24.0 *
002 1100688 ( 68.81430 +11.00000) 1.18 -0.11 177.0 +57.7  25.0 *
003 1000686 ( 68.59206 +10.00000) 1.20 -0.09 177.5 +56.7  26.0 *
004 1300601 ( 60.09010 +13.00000) 1.17  0.47 193.6 +59.1  26.0 *
005 1400655 ( 65.49550 +14.00000) 1.15  0.11 183.4 +60.7  26.0 *
006 1200701 ( 70.08144 +12.00000) 1.17 -0.19 174.6 +58.6  27.0 *
007 1400603 ( 60.34242 +14.00000) 1.15  0.46 193.4 +60.1  30.0 *
008 1400552 ( 55.18936 +14.00000) 1.17  0.80 203.0 +59.0  30.0 *
009 1300704 ( 70.35314 +13.00000) 1.16 -0.21 173.9 +59.6  31.0 *
010 1000737 ( 73.66922 +10.00000) 1.20 -0.43 168.5 +56.2  34.0 *
011 1100739 ( 73.90790 +11.00000) 1.19 -0.45 167.8 +57.2  34.0 *
012 1300755 ( 75.48470 +13.00000) 1.17 -0.55 164.2 +58.9  36.0 *
013 1400706 ( 70.64858 +14.00000) 1.15 -0.23 173.2 +60.6  37.0 *
014 1400500 ( 50.03630 +14.00000) 1.19  1.14 211.9 +57.2  38.0 *
015 1200752 ( 75.19314 +12.00000) 1.18 -0.53 165.1 +58.0  38.0 *
016 1400758 ( 75.80164 +14.00000) 1.16 -0.57 163.2 +59.8  40.0 *
017 1000787 ( 78.74634 +10.00000) 1.22 -0.77 159.8 +55.2  41.0 *
018 1100790 ( 79.00150 +11.00000) 1.20 -0.79 158.9 +56.1  44.0 *
019 1200803 ( 80.30484 +12.00000) 1.20 -0.87 156.1 +56.7  45.0 *
020 1000838 ( 83.82346 +10.00000) 1.24 -1.11 151.6 +53.7  48.0 *
021 1300806 ( 80.61620 +13.00000) 1.18 -0.89 155.0 +57.6  49.0 *
022 1400810 ( 80.95470 +14.00000) 1.17 -0.92 153.8 +58.4  50.0 *
023 1400449 ( 44.88322 +14.00000) 1.22  1.49 220.0 +55.0  50.0 *
024 1400397 ( 39.73016 +14.00000) 1.26  1.83 227.2 +52.4  51.0 *
025 1100836 ( 83.58570 +11.00000) 1.23 -1.12 150.7 +54.6  55.0 *
026 1200839 ( 83.88305 +12.00000) 1.22 -1.19 148.4 +55.1  58.0 *
027 1300837 ( 83.69510 +13.00000) 1.21 -1.20 147.4 +56.0  60.0 *
