#Object       u60

'test'        1.0
11199         1.0
11198         1.0
10779         1.0
11201         1.0
11200         1.0
11203         1.0
11202         1.0
10798         1.0
11204         1.0
10794         1.0
10795         1.0
10796         1.0
10797         1.0
10790         1.0
10791         1.0
10792         1.0
10793         1.0
10788         1.0
11177         1.0
10479         1.0
11179         1.0
11178         1.0
10478         1.0
10488         1.0
10489         1.0
10763         1.0
10765         1.0
10764         1.0
10767         1.0
10766         1.0
10480         1.0
10768         1.0
10482         1.0
10443         1.0
10484         1.0
10485         1.0
10486         1.0
10487         1.0
11182         1.0
11183         1.0
11180         1.0
11181         1.0
10404         1.0
10405         1.0
10406         1.0
10407         1.0
10802         1.0
10783         1.0
10769         1.0
10781         1.0
10780         1.0
10787         1.0
10449         1.0
10785         1.0
10784         1.0
10444         1.0
10445         1.0
10789         1.0
10447         1.0
10778         1.0
10468         1.0
10469         1.0
10466         1.0
10470         1.0
10446         1.0
10782         1.0
10481         1.0
10803         1.0
10464         1.0
10483         1.0
10467         1.0
10786         1.0
10465         1.0
10777         1.0
10804         1.0
10448         1.0
10403         1.0
10490         1.0
10800         1.0
10801         1.0
10491         1.0
10799         1.0
