#Object       u60

16378         1.0
16379         1.0
16376         1.0
16377         1.0
M67AD2        0.0
M67AD1        0.0
M67DD2        0.0
16381         1.0
M67DD1        0.0
10603         1.0
11858         1.0
11859         1.0
11913         1.0
M67CA1        0.0
11915         1.0
11914         1.0
11857         1.0
M67BA1        0.0
M67AC2        0.0
M67AC1        0.0
12385         1.0
12386         1.0
13428         1.0
13427         1.0
13426         1.0
M67AB2        0.0
10602         1.0
16380         1.0
16382         1.0
M67BA2        0.0
10604         1.0
10605         1.0
M67CC1        0.0
M67CC2        0.0
M67AA1        0.0
M67AA2        0.0
12240         1.0
12241         1.0
11514         1.0
11511         1.0
11510         1.0
11513         1.0
11512         1.0
M67CB2        0.0
M67CB1        0.0
11319         1.0
11318         1.0
M67CD1        0.0
M67CD2        0.0
13321         1.0
13322         1.0
11316         1.0
M67CA2        0.0
13771         1.0
13770         1.0
11150         1.0
11508         2.0
11509         1.0
12237         1.0
12239         1.0
12238         1.0
13769         1.0
11861         1.0
11860         1.0
11863         1.0
11862         1.0
11865         1.0
11864         1.0
11867         1.0
11866         1.0
11869         1.0
11868         1.0
M67DA1        0.0
M67BD1        0.0
M67BD2        0.0
M67DA2        0.0
M67BB2        0.0
M67BB1        0.0
11322         1.0
11323         1.0
11320         1.0
11321         1.0
11870         1.0
M67DB1        0.0
M67DB2        0.0
M67          32.0
M67BC1        0.0
M67BC2        0.0
11551         1.0
11550         1.0
11553         1.0
11552         1.0
11555         1.0
11554         1.0
11557         1.0
11556         1.0
11317         1.0
11558         1.0
11315         1.0
M67DC2        0.0
M67DC1        0.0
M67AB1        0.0
10601         1.0
