#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 2530527 ( 52.70537 +25.30000) 1.01 -0.08 170.6 +83.3  42.0 *
002 2530651 ( 65.53606 +25.30000) 1.03 -1.01 112.7 +75.1  46.0 *
003 2530403 ( 40.31712 +25.30000) 1.02  0.74 238.6 +78.2  48.0 *
004 2530465 ( 46.51124 +25.30000) 1.01  0.33 214.5 +82.0  49.0 *
005 2610522 ( 52.16989 +26.10000) 1.01 -0.05 174.0 +84.1  49.0 *
006 2450699 ( 72.58551 +24.50000) 1.07 -1.50 105.0 +68.9  51.0 *
007 2450207 ( 20.71517 +24.50000) 1.13  2.05 262.4 +62.0  52.0 *
008 2610584 ( 58.40578 +26.10000) 1.01 -0.46 132.3 +81.6  53.0 *
009 2610459 ( 45.93400 +26.10000) 1.01  0.37 221.0 +82.4  54.0 *
010 2610646 ( 64.64167 +26.10000) 1.03 -0.88 113.7 +77.1  56.0 *
011 2450146 ( 14.56106 +24.50000) 1.20  2.46 266.5 +56.8  56.0 *
012 2290083 (  9.17296 +22.90000) 1.27  2.79 266.9 +52.0  56.0 *
013 2530341 ( 34.12299 +25.30000) 1.04  1.16 250.8 +73.4  58.0 *
014 2530217 ( 21.73474 +25.30000) 1.12  1.98 263.3 +63.1  58.0 *
015 2530279 ( 27.92887 +25.30000) 1.08  1.57 258.1 +68.3  59.0 *
016 2370022 (  0.44937 +23.70000) 1.40  3.31 272.2 +45.7  61.0 *
017 2530093 (  9.34649 +25.30000) 1.26  2.81 270.7 +52.7  62.0 *
018 2450084 (  8.40695 +24.50000) 1.28  2.87 270.0 +51.6  62.0 *
019 2450023 (  2.31783 +24.50000) 1.38  3.28 273.1 +46.4  64.0 *
020 2610397 ( 39.69811 +26.10000) 1.02  0.79 243.4 +78.2  64.0 *
021 2610335 ( 33.46222 +26.10000) 1.04  1.20 254.2 +73.2  66.0 *
022 2530155 ( 15.54062 +25.30000) 1.18  2.40 267.3 +57.9  66.0 *
023 2690651 ( 63.29913 +26.90000) 1.02 -0.85 111.3 +77.8  68.0 *
024 2610709 ( 70.87756 +26.10000) 1.05 -1.29 104.1 +72.1  69.0 *
025 2530032 (  3.15237 +25.30000) 1.36  3.22 273.8 +47.4  70.0 *
026 2610272 ( 27.22634 +26.10000) 1.08  1.62 260.7 +68.0  72.0 *
027 2610210 ( 20.99045 +26.10000) 1.12  2.03 265.4 +62.8  72.0 *
028 2610148 ( 14.75456 +26.10000) 1.19  2.45 269.2 +57.5  82.0 *
029 2610085 (  8.51867 +26.10000) 1.27  2.86 272.4 +52.2  83.0 *
030 2613515 (351.49255 +26.10000) 1.63  4.00 279.9 +37.9  86.0 *
031 2613573 (357.28301 +26.10000) 1.47  3.60 277.3 +42.9  91.0 *
032 2610023 (  2.39574 +26.10000) 1.37  3.27 275.2 +47.0  91.0 *
033 2693575 (357.53632 +26.90000) 1.45  3.57 278.2 +43.6  96.0 *
