#No  Block  (       RA       Dec) Airm HA       Az   Alt   Key Other
001 2530527 ( 52.70537 +25.30000) 1.01 -0.30 148.6 +82.3  45.0 *
002 2530589 ( 58.89949 +25.30000) 1.02 -0.71 122.9 +78.6  45.0 *
003 2530465 ( 46.51124 +25.30000) 1.01  0.12 193.5 +83.2  49.0 *
004 2530403 ( 40.31712 +25.30000) 1.01  0.53 228.3 +80.4  50.0 *
005 2610522 ( 52.16989 +26.10000) 1.01 -0.26 148.9 +83.2  52.0 *
006 2530651 ( 65.53606 +25.30000) 1.05 -1.23 107.8 +72.6  52.0 *
007 2610584 ( 58.40578 +26.10000) 1.02 -0.68 120.9 +79.4  54.0 *
008 2450207 ( 20.71517 +24.50000) 1.11  1.84 259.9 +64.7  54.0 *
009 2610459 ( 45.93400 +26.10000) 1.01  0.16 199.8 +83.8  54.0 *
010 2450699 ( 72.58551 +24.50000) 1.09 -1.71 101.8 +66.2  56.0 *
011 2530341 ( 34.12299 +25.30000) 1.03  0.94 245.4 +75.9  57.0 *
012 2450146 ( 14.56106 +24.50000) 1.16  2.25 264.5 +59.5  58.0 *
013 2290083 (  9.17296 +22.90000) 1.22  2.58 265.0 +54.7  58.0 *
014 2530217 ( 21.73474 +25.30000) 1.10  1.77 260.8 +65.8  61.0 *
015 2610397 ( 39.69811 +26.10000) 1.01  0.57 234.2 +80.5  63.0 *
016 2370022 (  0.44937 +23.70000) 1.34  3.10 270.6 +48.4  63.0 *
017 2610646 ( 64.64167 +26.10000) 1.04 -1.09 108.1 +74.6  63.0 *
018 2530279 ( 27.92887 +25.30000) 1.06  1.36 254.7 +71.0  63.0 *
019 2530093 (  9.34649 +25.30000) 1.22  2.60 269.0 +55.4  64.0 *
020 2450084 (  8.40695 +24.50000) 1.23  2.66 268.2 +54.3  64.0 *
021 2610335 ( 33.46222 +26.10000) 1.03  0.99 249.4 +75.8  65.0 *
022 2450023 (  2.31783 +24.50000) 1.32  3.06 271.5 +49.1  66.0 *
023 2530155 ( 15.54062 +25.30000) 1.15  2.18 265.3 +60.6  68.0 *
024 2530032 (  3.15237 +25.30000) 1.30  3.01 272.2 +50.1  73.0 *
025 2610709 ( 70.87756 +26.10000) 1.07 -1.51 100.8 +69.4  75.0 *
026 2690651 ( 63.29913 +26.90000) 1.03 -1.06 106.0 +75.2  75.0 *
027 2610210 ( 20.99045 +26.10000) 1.10  1.82 263.2 +65.5  76.0 *
028 2610272 ( 27.22634 +26.10000) 1.06  1.40 257.7 +70.7  78.0 *
029 2610148 ( 14.75456 +26.10000) 1.15  2.23 267.3 +60.2  83.0 *
030 2610085 (  8.51867 +26.10000) 1.22  2.65 270.8 +54.9  85.0 *
031 2613515 (351.49255 +26.10000) 1.54  3.79 278.5 +40.6  89.0 *
032 2610023 (  2.39574 +26.10000) 1.31  3.06 273.8 +49.8  93.0 *
033 2613573 (357.28301 +26.10000) 1.40  3.38 276.0 +45.6  94.0 *
034 2693575 (357.53632 +26.90000) 1.38  3.35 276.8 +46.3  99.0 *
