#Object       g60  r60  i60

3711          0.0  1.0  0.0
3492          1.0  1.0  0.0
3493          1.0  0.0  0.0
3490          1.0  1.0  0.0
3491          1.0  1.0  0.0
4026          0.0  1.0  0.0
4027          0.0  1.0  0.0
4025          2.0  0.0  0.0
4023          1.0  1.0  0.0
4029          0.0  2.0  0.0
3799          1.0  1.0  0.0
3798          1.0  1.0  0.0
3795          1.0  1.0  0.0
3794          1.0  1.0  0.0
3797          1.0  1.0  0.0
3796          1.0  1.0  0.0
3793          1.0  1.0  0.0
3489          1.0  1.0  0.0
3488          1.0  1.0  0.0
4336          2.0  0.0  0.0
4337          1.0  0.0  0.0
3483          1.0  1.0  0.0
3485          1.0  1.0  0.0
4333          0.0  1.0  0.0
3487          1.0  1.0  0.0
3486          1.0  1.0  0.0
4030          0.0  1.0  0.0
4648          1.0  1.0  0.0
4649          1.0  1.0  0.0
4642          2.0  2.0  0.0
4643          1.0  1.0  0.0
4640          1.0  2.0  0.0
4641          1.0  1.0  0.0
4646          1.0  1.0  0.0
4631          1.0  1.0  0.0
4644          1.0  1.0  0.0
4645          2.0  2.0  0.0
4630          1.0  1.0  0.0
4105          1.0  1.0  0.0
4329          0.0  1.0  0.0
4328          1.0  0.0  0.0
4321          1.0  0.0  0.0
4320          1.0  1.0  0.0
4323          1.0  0.0  0.0
4322          1.0  0.0  0.0
4325          1.0  1.0  0.0
4324          1.0  1.0  0.0
4327          0.0  1.0  0.0
4326          1.0  0.0  0.0
4651          1.0  1.0  0.0
4650          1.0  1.0  0.0
4653          1.0  1.0  0.0
4652          1.0  1.0  0.0
4414          1.0  2.0  0.0
4413          1.0  0.0  0.0
4412          1.0  1.0  0.0
4411          1.0  1.0  0.0
4410          1.0  1.0  0.0
4647          1.0  1.0  0.0
4627          1.0  1.0  0.0
4628          1.0  1.0  0.0
4629          1.0  1.0  0.0
4956          1.0  1.0  0.0
3801          1.0  1.0  0.0
3800          1.0  1.0  0.0
3802          1.0  1.0  0.0
4103          1.0  1.0  0.0
4102          1.0  1.0  0.0
4637          1.0  1.0  0.0
4104          1.0  1.0  0.0
4634          1.0  0.0  0.0
4639          1.0  1.0  0.0
4638          1.0  1.0  0.0
4945          2.0  1.0  0.0
4944          1.0  0.0  0.0
4941          1.0  0.0  0.0
4943          1.0  2.0  0.0
4942          2.0  2.0  0.0
4931          0.0  2.0  0.0
4932          1.0  1.0  0.0
4933          2.0  1.0  0.0
4934          1.0  1.0  0.0
4935          1.0  1.0  0.0
4014          1.0  1.0  0.0
4334          1.0  2.0  0.0
4332          2.0  1.0  0.0
3484          1.0  1.0  0.0
4330          1.0  0.0  0.0
3703          1.0  1.0  0.0
4331          0.0  2.0  0.0
3706          2.0  1.0  0.0
3707          2.0  1.0  0.0
3704          1.0  1.0  0.0
3705          2.0  1.0  0.0
4019          1.0  0.0  0.0
4013          1.0  1.0  0.0
4012          1.0  0.0  0.0
4016          1.0  1.0  0.0
4015          1.0  1.0  0.0
4106          1.0  1.0  0.0
