#Object       g60  r60  i60

3715          1.0  1.0  0.0
3714          1.0  1.0  0.0
3717          1.0  1.0  0.0
3716          1.0  1.0  0.0
3711          1.0  1.0  0.0
3710          1.0  1.0  0.0
3713          1.0  1.0  0.0
3712          1.0  1.0  0.0
4321          1.0  1.0  0.0
4320          0.0  1.0  0.0
4323          1.0  0.0  0.0
4322          1.0  1.0  0.0
4325          1.0  1.0  0.0
4324          1.0  2.0  0.0
4327          1.0  1.0  0.0
4326          1.0  1.0  0.0
4026          1.0  1.0  0.0
4027          1.0  1.0  0.0
4024          1.0  1.0  0.0
4025          1.0  1.0  0.0
4022          1.0  1.0  0.0
4023          1.0  1.0  0.0
4020          1.0  1.0  0.0
4021          1.0  1.0  0.0
4028          1.0  0.0  0.0
4029          1.0  0.0  0.0
test3         2.0  2.0  0.0
4018          1.0  1.0  0.0
4329          1.0  1.0  0.0
4019          1.0  1.0  0.0
test2         2.0  1.0  0.0
4030          1.0  0.0  0.0
3708          1.0  1.0  0.0
3709          1.0  1.0  0.0
3703          1.0  1.0  0.0
3706          1.0  1.0  0.0
3707          1.0  1.0  0.0
3704          1.0  1.0  0.0
3705          1.0  1.0  0.0
4931          1.0  1.0  0.0
4932          1.0  1.0  0.0
4933          1.0  1.0  0.0
4934          0.0  1.0  0.0
4935          1.0  1.0  0.0
4328          1.0  1.0  0.0
4012          0.0  1.0  0.0
4017          1.0  1.0  0.0
4016          1.0  1.0  0.0
4015          1.0  1.0  0.0
4014          2.0  1.0  0.0
4013          1.0  1.0  0.0
test1         2.0  0.0  0.0
