#Object       g60  r60  i60

5235          1.0  1.0  0.0
5238          1.0  1.0  0.0
5239          1.0  1.0  0.0
5250          1.0  1.0  0.0
5251          1.0  1.0  0.0
4941          0.0  1.0  0.0
4940          1.0  1.0  0.0
5254          1.0  1.0  0.0
4955          1.0  0.0  0.0
5547          1.0  1.0  0.0
5236          1.0  1.0  0.0
5237          1.0  1.0  0.0
5252          1.0  0.0  0.0
5253          1.0  1.0  0.0
4333          1.0  0.0  0.0
5555          1.0  1.0  0.0
5554          1.0  1.0  0.0
5549          1.0  1.0  0.0
5551          1.0  1.0  0.0
5550          1.0  1.0  0.0
5553          1.0  1.0  0.0
5552          1.0  1.0  0.0
5247          1.0  1.0  0.0
5548          0.0  1.0  0.0
4931          1.0  0.0  0.0
5249          1.0  1.0  0.0
5248          1.0  1.0  0.0
4936          1.0  1.0  0.0
4937          1.0  1.0  0.0
4938          1.0  1.0  0.0
5244          1.0  1.0  0.0
4640          1.0  0.0  0.0
5246          1.0  0.0  0.0
5241          1.0  1.0  0.0
5240          1.0  1.0  0.0
5243          1.0  1.0  0.0
5242          1.0  1.0  0.0
5245          1.0  1.0  0.0
5556          1.0  1.0  0.0
4012          0.0  1.0  0.0
4952          1.0  0.0  0.0
4953          1.0  0.0  0.0
4951          1.0  1.0  0.0
4944          0.0  1.0  0.0
4954          1.0  0.0  0.0
4939          1.0  1.0  0.0
