#Object       u60  vst  v40

11540         1.0  0.0  0.0
11541         1.0  0.0  0.0
11119         1.0  0.0  0.0
11118         1.0  0.0  0.0
11111         2.0  0.0  0.0
11110         2.0  0.0  0.0
11113         1.0  0.0  0.0
11112         1.0  0.0  0.0
11115         1.0  0.0  0.0
11114         1.0  0.0  0.0
11117         1.0  0.0  0.0
11116         1.0  0.0  0.0
coord_test    0.0  0.0  0.0
11108         5.0  0.0  0.0
11109         4.0  0.0  0.0
11141         1.0  0.0  0.0
11137         1.0  0.0  0.0
11882         1.0  0.0  0.0
11135         1.0  0.0  0.0
11887         1.0  0.0  0.0
11886         1.0  0.0  0.0
11885         1.0  0.0  0.0
11884         1.0  0.0  0.0
11889         1.0  0.0  0.0
11888         1.0  0.0  0.0
11139         1.0  0.0  0.0
11138         1.0  0.0  0.0
11120         1.0  0.0  0.0
11121         1.0  0.0  0.0
11122         2.0  0.0  0.0
11123         2.0  0.0  0.0
11124         2.0  0.0  0.0
11125         2.0  0.0  0.0
11126         2.0  0.0  0.0
11127         2.0  0.0  0.0
11894         1.0  0.0  0.0
11895         1.0  0.0  0.0
11896         1.0  0.0  0.0
11897         1.0  0.0  0.0
11890         1.0  0.0  0.0
11891         1.0  0.0  0.0
11892         1.0  0.0  0.0
11893         1.0  0.0  0.0
11881         1.0  0.0  0.0
11128         1.0  0.0  0.0
unknown       0.0  0.0  0.0
12189         1.0  0.0  0.0
12188         1.0  0.0  0.0
12187         1.0  0.0  0.0
12186         1.0  0.0  0.0
12185         1.0  0.0  0.0
11883         1.0  0.0  0.0
11539         1.0  0.0  0.0
11538         1.0  0.0  0.0
11142         1.0  0.0  0.0
11140         1.0  0.0  0.0
11136         1.0  0.0  0.0
11533         1.0  0.0  0.0
11532         1.0  0.0  0.0
11531         1.0  0.0  0.0
11530         1.0  0.0  0.0
11537         1.0  0.0  0.0
11536         1.0  0.0  0.0
11535         1.0  0.0  0.0
11534         1.0  0.0  0.0
12190         1.0  0.0  0.0
11526         1.0  0.0  0.0
11527         1.0  0.0  0.0
11489         2.0  0.0  0.0
11488         2.0  0.0  0.0
11487         2.0  0.0  0.0
12191         1.0  0.0  0.0
11528         1.0  0.0  0.0
11529         1.0  0.0  0.0
11490         1.0  0.0  0.0
11491         1.0  0.0  0.0
11492         1.0  0.0  0.0
11493         1.0  0.0  0.0
11494         1.0  0.0  0.0
11495         1.0  0.0  0.0
11496         1.0  0.0  0.0
11497         1.0  0.0  0.0
11168         1.0  0.0  0.0
11169         1.0  0.0  0.0
11164         2.0  0.0  0.0
11165         1.0  0.0  0.0
11166         1.0  0.0  0.0
11167         1.0  0.0  0.0
