#Object       u60  vst  v40

1342          1.0  0.0  0.0
NGC6229       1.0  1.0  0.0
1447          1.0  0.0  0.0
IC4665        1.0  1.0  0.0
1078          1.0  1.0  0.0
1451          1.0  0.0  0.0
1076          1.0  0.0  0.0
1077          1.0  1.0  0.0
1074          1.0  0.0  0.0
1075          1.0  0.0  0.0
1072          1.0  0.0  0.0
1073          1.0  0.0  0.0
1070          1.0  0.0  0.0
1071          1.0  0.0  0.0
542           1.0  0.0  0.0
543           1.0  0.0  0.0
939           1.0  0.0  0.0
938           1.0  0.0  0.0
1469          1.0  0.0  0.0
1468          1.0  0.0  0.0
544           1.0  0.0  0.0
545           1.0  0.0  0.0
933           1.0  0.0  0.0
932           1.0  0.0  0.0
931           1.0  0.0  0.0
549           1.0  0.0  0.0
937           1.0  0.0  0.0
936           1.0  0.0  0.0
1463          1.0  0.0  0.0
934           1.0  0.0  0.0
944           1.0  0.0  0.0
1343          1.0  0.0  0.0
1344          1.0  0.0  0.0
945           1.0  0.0  0.0
1069          1.0  0.0  0.0
1068          1.0  0.0  0.0
1061          1.0  0.0  0.0
1060          1.0  0.0  0.0
1063          1.0  0.0  0.0
1062          1.0  0.0  0.0
1065          1.0  0.0  0.0
1064          1.0  0.0  0.0
1067          1.0  0.0  0.0
1066          1.0  0.0  0.0
928           1.0  0.0  0.0
929           1.0  0.0  0.0
920           1.0  0.0  0.0
921           1.0  0.0  0.0
922           1.0  0.0  0.0
923           1.0  0.0  0.0
924           1.0  0.0  0.0
925           1.0  0.0  0.0
926           1.0  0.0  0.0
927           1.0  0.0  0.0
NGC5053       1.0  1.0  0.0
582           1.0  1.0  0.0
583           1.0  1.0  0.0
540           1.0  0.0  0.0
2548          1.0  1.0  0.0
919           1.0  0.0  0.0
918           1.0  0.0  0.0
915           1.0  0.0  0.0
914           1.0  0.0  0.0
917           1.0  0.0  0.0
916           1.0  0.0  0.0
911           1.0  0.0  0.0
910           1.0  0.0  0.0
913           1.0  0.0  0.0
912           1.0  0.0  0.0
586           1.0  1.0  0.0
584           1.0  1.0  0.0
585           1.0  1.0  0.0
1339          1.0  1.0  0.0
1338          1.0  1.0  0.0
580           1.0  1.0  0.0
581           1.0  1.0  0.0
909           1.0  0.0  0.0
539           1.0  0.0  0.0
538           1.0  0.0  0.0
579           1.0  0.0  0.0
578           1.0  0.0  0.0
1340          1.0  1.0  0.0
1341          1.0  1.0  0.0
571           1.0  0.0  0.0
570           1.0  0.0  0.0
577           1.0  0.0  0.0
576           1.0  0.0  0.0
575           1.0  0.0  0.0
574           1.0  0.0  0.0
179           1.0  0.0  0.0
178           1.0  1.0  0.0
177           1.0  1.0  0.0
176           1.0  1.0  0.0
175           1.0  1.0  0.0
174           1.0  0.0  0.0
173           1.0  0.0  0.0
172           1.0  0.0  0.0
977           1.0  0.0  0.0
976           1.0  0.0  0.0
975           1.0  0.0  0.0
974           1.0  0.0  0.0
973           1.0  0.0  0.0
972           1.0  0.0  0.0
971           1.0  0.0  0.0
970           1.0  0.0  0.0
930           1.0  0.0  0.0
1373          1.0  0.0  0.0
978           1.0  0.0  0.0
182           1.0  0.0  0.0
183           1.0  0.0  0.0
180           1.0  0.0  0.0
181           1.0  0.0  0.0
184           1.0  0.0  0.0
185           1.0  0.0  0.0
Coma          1.0  1.0  0.0
546           1.0  0.0  0.0
547           1.0  0.0  0.0
568           1.0  0.0  0.0
569           1.0  0.0  0.0
1358          1.0  0.0  0.0
1377          1.0  0.0  0.0
1353          1.0  0.0  0.0
1352          1.0  0.0  0.0
1376          1.0  0.0  0.0
1357          1.0  0.0  0.0
1374          1.0  0.0  0.0
1355          1.0  0.0  0.0
1354          1.0  0.0  0.0
1465          1.0  0.0  0.0
1464          1.0  0.0  0.0
1047          1.0  1.0  0.0
548           1.0  0.0  0.0
964           1.0  0.0  0.0
965           1.0  0.0  0.0
966           1.0  0.0  0.0
967           1.0  0.0  0.0
960           1.0  0.0  0.0
