#MJD Time   LST  No Object     RA        Dec    Airm    Az   Alt Cost
7633 19.98 18.77  1 2053097 309.66010 +20.50000 1.12 109.3 +63.7  770
7633 20.19 18.98  2 2133105 310.45695 +21.30000 1.09 110.4 +66.0  770
7633 20.40 19.20  3 2213105 310.45993 +22.10000 1.07 112.8 +69.0  770
7633 20.62 19.41  4 2053156 315.63872 +20.50000 1.09 113.7 +66.6  770
7633 20.83 19.62  5 2133165 316.03820 +21.30000 1.07 115.5 +69.0  660
7633 21.01 19.81  6 2213165 316.50400 +22.10000 1.06 117.5 +71.4  770
7633 21.23 20.02  7 2053216 319.90915 +20.50000 1.07 119.5 +69.6  330
7633 21.32 20.11  8 2293114 311.39227 +22.90000 1.02 139.6 +78.4  770
7633 21.53 20.33  9 2213225 322.54807 +22.10000 1.05 120.7 +72.7  770
7633 21.75 20.54 10 2293175 317.47139 +22.90000 1.02 140.9 +78.6  770
7633 21.96 20.75 11 2213286 326.43355 +22.10000 1.04 123.5 +73.7  220
7633 22.02 20.81 12 2293236 323.55052 +22.90000 1.02 134.0 +77.5  770
7633 22.24 21.03 13 2373185 318.51254 +23.70000 1.01 170.7 +81.6  770
7633 22.45 21.24 14 2373124 312.39675 +23.70000 1.02 222.0 +79.2  770
7633 22.66 21.46 15 2293296 329.62964 +22.90000 1.02 147.3 +79.4  770
7633 22.88 21.67 16 2213346 335.49963 +22.10000 1.03 137.7 +77.1  550
7633 23.03 21.82 17 2293357 335.70876 +22.90000 1.02 144.9 +79.1  770
7633 23.25 22.04 18 2213407 338.52167 +22.10000 1.02 144.1 +78.1  220
7633 23.31 22.10 19 2133405 343.08578 +21.30000 1.03 133.6 +75.3  110
7633 23.34 22.13 20 2133465 346.52041 +21.30000 1.04 129.5 +74.3  770
7633 23.55 22.34 21 2133525 352.53098 +21.30000 1.05 123.3 +72.4  770
7633 23.76 22.56 22 2133577 357.68290 +21.30000 1.06 118.9 +70.6  550
7633 23.92 22.71 23 2373307 330.74411 +23.70000 1.03 233.7 +76.9  770
7633 24.13 22.92 24 2213579 358.81247 +22.10000 1.04 124.3 +73.9  330
7633 24.22 23.01 25 2373491 349.09149 +23.70000 1.01 165.8 +81.5  770
7633 24.44 23.23 26 2130022   0.25885 +21.30000 1.03 133.0 +75.2  110
7633 24.47 23.26 27 2373430 342.97569 +23.70000 1.02 220.7 +79.4  770
7633 24.68 23.47 28 2373552 355.20728 +23.70000 1.01 170.5 +81.6  770
7633 24.90 23.69 29 2373591 359.13886 +23.70000 1.01 159.3 +81.2  220
7633 24.96 23.75 30 2370022   0.44937 +23.70000 1.01 155.9 +81.0  110
7633 24.99 23.78 31 2290022   2.65962 +22.90000 1.02 154.6 +80.1  660
7633 25.17 23.96 32 2210031   5.66631 +22.10000 1.02 150.1 +78.8  110
7633 25.20 23.99 33 2210091   9.12006 +22.10000 1.02 143.6 +78.0  770
7633 25.41  0.21 34 2290083   8.30452 +22.90000 1.01 159.7 +80.4  770
7633 25.63  0.42 35 2290144  13.51520 +22.90000 1.02 147.8 +79.5  550
7633 25.78  0.57 36 2210152  15.16413 +22.10000 1.02 154.7 +79.2  770
7633 26.00  0.79 37 2290205  22.63388 +22.90000 1.03 132.0 +77.1  220
7633 26.06  0.85 38 2450084   8.40695 +24.50000 1.01 216.4 +80.9  770
7633 26.27  1.06 39 2370206  22.33355 +23.70000 1.01 147.2 +80.3  330
7633 26.36  1.15 40 2290265  26.54189 +22.90000 1.02 141.4 +78.7  770
7633 26.58  1.37 41 2370267  26.70198 +23.70000 1.01 152.8 +80.8  770
7633 26.79  1.58 42 2450269  26.86928 +24.50000 1.01 169.3 +82.4  770
7633 27.00  1.80 43 2210333  32.86461 +22.10000 1.02 156.5 +79.3  660
7633 27.19  1.98 44 2370328  32.81777 +23.70000 1.01 170.3 +81.6  770
7633 27.40  2.19 45 2290326  33.48946 +22.90000 1.01 183.2 +80.9  550
7633 27.55  2.35 46 2290387  38.70014 +22.90000 1.01 168.9 +80.8  770
7633 27.77  2.56 47 2370389  38.93356 +23.70000 1.01 186.7 +81.7  770
7633 27.98  2.77 48 2290448  43.47659 +22.90000 1.01 174.4 +80.9  440
7633 28.10  2.90 49 2370450  45.04935 +23.70000 1.01 179.9 +81.7  770
7633 28.32  3.11 50 2450515  51.48571 +24.50000 1.01 158.3 +82.0  770
7633 28.53  3.32 51 2210454  47.97477 +22.10000 1.02 191.3 +80.0  110
7633 28.56  3.35 52 2450453  45.33160 +24.50000 1.01 219.5 +80.6  770
7633 28.78  3.57 53 2450576  57.20024 +24.50000 1.01 164.2 +82.3  660
