#MJD Time   LST  No Object     RA        Dec    Airm    Az   Alt Cost
7633 19.98 18.77  1   10704 307.09784 +20.50000 1.11 110.4 +64.4  110
7633 20.01 18.80  1   10705 307.95193 +20.50000 1.11 109.9 +64.1  110
7633 20.04 18.83  1   10706 308.80603 +20.50000 1.11 109.5 +63.8  110
7633 20.07 18.86  1   10707 309.66010 +20.50000 1.12 109.0 +63.5  110
7633 20.10 18.89  1   10708 310.51419 +20.50000 1.12 108.6 +63.2  110
7633 20.13 18.92  1   10709 311.36829 +20.50000 1.12 108.2 +62.9  110
7633 20.16 18.95  1   10710 312.22235 +20.50000 1.13 107.8 +62.5  110
7633 20.19 18.98  2   11067 307.88098 +21.30000 1.09 111.6 +66.8  110
7633 20.22 19.01  2   11068 308.73966 +21.30000 1.09 111.1 +66.5  110
7633 20.25 19.04  2   11069 309.59830 +21.30000 1.09 110.6 +66.2  110
7633 20.28 19.07  2   11070 310.45694 +21.30000 1.10 110.2 +65.8  110
7633 20.31 19.10  2   11071 311.31561 +21.30000 1.10 109.7 +65.5  110
7633 20.34 19.13  2   11072 312.17426 +21.30000 1.10 109.2 +65.2  110
7633 20.37 19.16  2   11073 313.03293 +21.30000 1.10 108.8 +64.9  110
7633 20.40 19.20  3   11429 307.86963 +22.10000 1.07 114.2 +69.7  110
7633 20.43 19.23  3   11430 308.73306 +22.10000 1.07 113.6 +69.4  110
7633 20.46 19.26  3   11431 309.59650 +22.10000 1.07 113.0 +69.1  110
7633 20.50 19.29  3   11432 310.45993 +22.10000 1.07 112.5 +68.8  110
7633 20.53 19.32  3   11433 311.32336 +22.10000 1.07 111.9 +68.5  110
7633 20.56 19.35  3   11434 312.18680 +22.10000 1.08 111.4 +68.2  110
7633 20.59 19.38  3   11435 313.05023 +22.10000 1.08 110.9 +67.8  110
7633 20.62 19.41  4   10711 313.07645 +20.50000 1.08 114.9 +67.3  110
7633 20.65 19.44  4   10712 313.93054 +20.50000 1.09 114.4 +67.0  110
7633 20.68 19.47  4   10713 314.78464 +20.50000 1.09 113.9 +66.7  110
7633 20.71 19.50  4   10714 315.63870 +20.50000 1.09 113.4 +66.4  110
7633 20.74 19.53  4   10715 316.49280 +20.50000 1.09 112.8 +66.1  110
7633 20.77 19.56  4   10716 317.34689 +20.50000 1.10 112.3 +65.8  110
7633 20.80 19.59  4   10717 318.20099 +20.50000 1.10 111.9 +65.5  110
7633 20.83 19.62  5   11074 313.89157 +21.30000 1.07 116.7 +69.6  110
7633 20.86 19.65  5   11075 314.75021 +21.30000 1.07 116.1 +69.3  110
7633 20.89 19.68  5   11076 315.60889 +21.30000 1.07 115.5 +69.0  110
7633 20.92 19.71  5   11077 316.46753 +21.30000 1.07 114.9 +68.7  110
7633 20.95 19.75  5   11078 317.32617 +21.30000 1.08 114.3 +68.4  110
7633 20.98 19.78  5   11079 318.18484 +21.30000 1.08 113.7 +68.1  110
7633 21.01 19.81  6   11436 313.91370 +22.10000 1.05 119.3 +72.1  110
7633 21.05 19.84  6   11437 314.77713 +22.10000 1.05 118.5 +71.8  110
7633 21.08 19.87  6   11438 315.64056 +22.10000 1.05 117.8 +71.5  110
7633 21.11 19.90  6   11439 316.50400 +22.10000 1.06 117.2 +71.2  110
7633 21.14 19.93  6   11440 317.36743 +22.10000 1.06 116.5 +70.9  110
7633 21.17 19.96  6   11441 318.23086 +22.10000 1.06 115.8 +70.6  110
7633 21.20 19.99  6   11442 319.09430 +22.10000 1.06 115.2 +70.3  110
7633 21.23 20.02  7   10718 319.05505 +20.50000 1.07 119.8 +69.7  110
7633 21.26 20.05  7   10719 319.90915 +20.50000 1.07 119.1 +69.4  110
7633 21.29 20.08  7   10720 320.76324 +20.50000 1.07 118.5 +69.1  110
7633 21.32 20.11  8   11787 308.78693 +22.90000 1.02 143.5 +79.0  110
7633 21.35 20.14  8   11788 309.65537 +22.90000 1.02 141.8 +78.8  110
7633 21.38 20.17  8   11789 310.52383 +22.90000 1.02 140.3 +78.5  110
7633 21.41 20.20  8   11790 311.39227 +22.90000 1.02 138.8 +78.3  110
7633 21.44 20.23  8   11791 312.26071 +22.90000 1.02 137.3 +78.1  110
7633 21.47 20.26  8   11792 313.12915 +22.90000 1.02 135.9 +77.8  110
7633 21.50 20.30  8   11793 313.99762 +22.90000 1.02 134.5 +77.6  110
7633 21.53 20.33  9   11443 319.95776 +22.10000 1.04 122.7 +73.4  110
7633 21.56 20.36  9   11444 320.82120 +22.10000 1.05 121.8 +73.1  110
7633 21.60 20.39  9   11445 321.68463 +22.10000 1.05 121.0 +72.8  110
7633 21.63 20.42  9   11446 322.54807 +22.10000 1.05 120.3 +72.5  110
7633 21.66 20.45  9   11447 323.41150 +22.10000 1.05 119.5 +72.2  110
7633 21.69 20.48  9   11448 324.27493 +22.10000 1.05 118.8 +71.9  110
7633 21.72 20.51  9   11449 325.13837 +22.10000 1.05 118.1 +71.6  110
7633 21.75 20.54 10   11794 314.86606 +22.90000 1.02 144.8 +79.1  110
7633 21.78 20.57 10   11795 315.73450 +22.90000 1.02 143.2 +78.9  110
